,,,,,C-8  EDUCATIONAL LEVEL BY AGE AND SEX FOR POPULATION AGE 7 AND ABOVE - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Town,Town Name,Total/,Age-group,    Total,,,Illiterate,,,Literate,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,,,,,,,,,,Literate without,,,Below,,,Primary,,,Middle,,,Matric/Secondary,,,Higher secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate,,,Graduate & above,,,Unclassified,,
,,,,Urban,,,,,,,,,,,educational level,,,Primary,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,not equal to degree ,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
C2308,1,800013,Srinagar (M Corp.+OG),Urban,30-34,98397,50448,47949,29393,11039,18354,69004,39409,29595,4061,2414,1647,522,288,234,3142,1663,1479,11984,6970,5014,13856,8478,5378,10437,6399,4038,66,46,20,3137,1776,1361,21496,11207,10289,303,168,135
C2308,1,800013,Srinagar (M Corp.+OG),Urban,35-39,94814,49003,45811,35859,13729,22130,58955,35274,23681,3652,2170,1482,506,293,213,3174,1737,1437,11606,6862,4744,13444,8593,4851,7138,4379,2759,48,33,15,2214,1253,961,16834,9769,7065,339,185,154
C2308,1,800013,Srinagar (M Corp.+OG),Urban,40-44,79763,43920,35843,33383,13950,19433,46380,29970,16410,3051,1908,1143,381,249,132,2713,1638,1075,10026,6375,3651,12274,8569,3705,4474,3067,1407,38,33,5,1380,883,497,11751,7099,4652,292,149,143
C2308,1,800013,Srinagar (M Corp.+OG),Urban,45-49,67747,36344,31403,31017,12456,18561,36730,23888,12842,2361,1443,918,284,180,104,2262,1391,871,8831,5792,3039,9562,6367,3195,3085,2098,987,33,29,4,987,694,293,9068,5756,3312,257,138,119
C2308,1,800013,Srinagar (M Corp.+OG),Urban,50-54,50716,27912,22804,24984,10664,14320,25732,17248,8484,1737,1076,661,223,145,78,1506,978,528,5732,3790,1942,6865,4612,2253,2007,1401,606,24,20,4,646,474,172,6772,4645,2127,220,107,113
C2308,1,800013,Srinagar (M Corp.+OG),Urban,55-59,39980,20056,19924,21390,7600,13790,18590,12456,6134,1303,769,534,168,101,67,1060,638,422,3716,2330,1386,4870,3247,1623,1289,931,358,24,23,1,474,345,129,5525,3993,1532,161,79,82
C2308,1,800013,Srinagar (M Corp.+OG),Urban,60-64,35489,19450,16039,21169,8953,12216,14320,10497,3823,1117,700,417,162,105,57,994,699,295,2770,1922,848,3831,2863,968,965,747,218,8,7,1,334,264,70,3976,3102,874,163,88,75
C2308,1,800013,Srinagar (M Corp.+OG),Urban,65-69,22595,11450,11145,15005,5834,9171,7590,5616,1974,672,412,260,88,52,36,565,357,208,1662,1167,495,1925,1466,459,440,350,90,4,3,1,182,151,31,1915,1575,340,137,83,54
C2308,1,800013,Srinagar (M Corp.+OG),Urban,70-74,18324,9558,8766,13375,5739,7636,4949,3819,1130,553,316,237,70,47,23,414,303,111,1122,831,291,1254,1057,197,245,200,45,15,11,4,104,87,17,1062,915,147,110,52,58
C2308,1,800013,Srinagar (M Corp.+OG),Urban,75-79,9001,4456,4545,6574,2611,3963,2427,1845,582,290,147,143,33,21,12,255,160,95,570,411,159,620,552,68,103,86,17,2,2,0,61,51,10,436,381,55,57,34,23
